iter	Logloss
0	0.6918427902
1	0.6910674562
2	0.690142157
3	0.6891007997
4	0.6872696204
5	0.6863179513
6	0.6850294231
7	0.6836335996
8	0.6824053721
9	0.6806986793
10	0.6793827902
11	0.6776957039
12	0.6759315089
13	0.6747035126
14	0.6738159696
15	0.672246454
16	0.6710625073
17	0.6695545748
18	0.6681689003
19	0.6673708535
20	0.665866074
21	0.665128397
22	0.6641151644
23	0.6626007344
24	0.6621008129
25	0.6607926875
26	0.6602670145
27	0.6592963258
28	0.6579228864
29	0.6570746283
30	0.6558356167
31	0.6543409124
32	0.6535137738
33	0.652400669
34	0.65158092
35	0.6507326877
36	0.6497257279
37	0.6483242338
38	0.6472150709
39	0.6462858486
40	0.6448546375
41	0.6432339355
42	0.6421703482
43	0.6412100204
44	0.6397320958
45	0.638903139
46	0.637605212
47	0.6363250232
48	0.6346246911
49	0.6329463761
50	0.632369963
51	0.631721072
52	0.630603798
53	0.6295094368
54	0.6286417092
55	0.6272006494
56	0.6266106429
57	0.6262334002
58	0.6256534707
59	0.6249559826
60	0.6237114669
61	0.6229638399
62	0.6223711071
63	0.6212983188
64	0.6202853951
65	0.6191992024
66	0.6180147651
67	0.6171238412
68	0.6161549368
69	0.6154763012
70	0.6144561232
71	0.6136321362
72	0.6133121933
73	0.6129091072
74	0.6116789443
75	0.6108258636
76	0.60950277
77	0.6080216405
78	0.6070638692
79	0.6062577458
80	0.6050860911
81	0.6038801571
82	0.6033476606
83	0.6023288384
84	0.6015730395
85	0.6007980689
86	0.6000944626
87	0.5995090464
88	0.5986832556
89	0.5977023339
90	0.5971041342
91	0.5961104814
92	0.5948974446
93	0.5942299953
94	0.5934373066
95	0.591946053
96	0.5904232869
97	0.5891834945
98	0.5886474467
99	0.5873303196
